profile,name,Re,CLmax_clean,CLmax_track,CLmax_abuse,LD_clean,LD_track,LD_abuse,target_unreachable_abuse,CLmax_retention,LD_retention
main_center,goe63_v22,301369,1.8153841580315806,1.7866314325938535,1.7543099705430467,98.28098501357397,95.24582168937839,61.25684694154479,False,0.9663574306196675,0.6232827940530344
main_center,goe304,301369,1.7213779685307626,1.7003638742018305,1.6952964948703435,101.44706397887364,99.26842923714285,60.22999839779084,False,0.9848484910709759,0.5937086401074528
main_center,goe304_v29,301369,1.7164612135136212,1.701173900964056,1.6803499033902503,92.24615498428376,92.93500461279406,60.71967325102195,False,0.9789617674788872,0.6582352756206146
main_center,goe304_v15,301369,1.7566757391254937,1.7334777933654921,1.7167076888675383,93.85367361519829,91.55535824369564,60.92998117842107,False,0.9772479067321485,0.6492018781090558
main_center,goe304_v00,301369,1.709209007784386,1.6932216964041469,1.6774785531483727,89.11364197373364,91.22922823828846,61.087422352896624,False,0.9814355912638532,0.6855002331842999
main_center,goe304_v23,301369,1.7228101831480218,1.6978614087233368,1.6907929952097915,101.08696590193946,99.91603184354238,60.10356407704861,False,0.9814157193570062,0.594572836772574
main_center,goe63_v23,301369,1.7857391368530837,1.766866609635438,1.718646835440848,91.72017134835639,90.62055207372168,61.36453013380653,False,0.9624288340734531,0.669040727156319
main_center,goe802_v27,301369,1.6993073448677949,1.6595560667419462,1.6327036625403653,91.97520898946472,91.62758237427633,58.88596149937001,False,0.9608053937219866,0.6402373220605032
main_outboard,goe14_v05,301369,1.9290956332447438,1.8645972130084854,1.623332657449314,82.17457392896779,85.53914254582311,51.35766346945959,False,0.8414993168165875,0.6249824126116367
main_outboard,goe14_v23,301369,1.9857994975390847,1.908110835446676,1.591329287012432,76.50521726906062,85.41929127897235,51.694663608963694,False,0.8013544615075678,0.6757011541730431
main_outboard,goe14_v00,301369,1.9370780291832879,1.8818517294321317,1.6004058843318554,78.82480725757756,85.99218560342653,53.385589859430546,False,0.826195878648533,0.6772688918221046
main_outboard,s1210_v28,301369,1.9013657603758005,1.8877773184451434,,95.31824165265557,96.34652736882637,,True,,
main_outboard,goe14_v20,301369,1.9381277584239593,1.872399096225882,1.6332603112443684,76.04238695185562,83.6435218283738,57.058037350888995,False,0.8427000253958996,0.7503451645595226
main_outboard,goe63_v28,301369,1.8285107890257382,1.8164532913801574,1.740446718084876,94.70124141852291,92.88341259633776,64.39067323751661,False,0.9518383640559298,0.6799348379494657
main_outboard,goe14_v18,301369,1.9031772349436435,1.8498143574744248,1.629612573925647,80.02274518074427,84.6880691029768,56.98664363518465,False,0.8562589673756279,0.7121305762064415
main_outboard,s1210_v08,301369,1.9568598522776417,1.937860908117185,,94.23643323971378,94.78937403256413,,True,,
flap1,s1223_v02,186301,2.2428524843184237,2.137370371122209,1.97769574169607,61.90434895775878,60.16334641765429,47.961787028346514,False,0.8817770029566026,0.7747724971806722
flap1,s1223_v07,186301,2.2920520124745813,2.203812282496347,1.8992202692516416,70.88382804700605,67.46791558375497,41.62692295898772,False,0.8286113312067362,0.5872555716288792
flap1,s1223_v13,186301,2.2293715389935183,2.1707933667519494,1.9401428383507144,69.46961816443219,66.39515987490499,45.90591530716774,False,0.8702644688945028,0.6608056373436517
flap1,s1223_v12,186301,2.2759646833807237,2.194669831760907,1.8786199451834125,68.8546369718323,67.76281545590241,43.89221578293735,False,0.8254170018108127,0.6374620172769654
flap1,s1223,186301,2.2960027142391244,2.2175562802896436,1.8962399029050059,69.31633333012974,69.87550164175299,47.68772169067602,False,0.8258874831223375,0.6879723637941997
flap1,s1223_v17,186301,2.3419811078455752,2.254813130724064,1.8868125528869943,64.37534182652409,67.7521637594735,49.94806667559493,False,0.8056480671710894,0.775888177964054
flap1,s1223_v04,186301,2.2396305253849094,2.1790167843532,1.9027886538103846,66.751096001731,69.35703790294282,49.67690494895238,False,0.8495993567882657,0.7442110755404547
flap1,s1223_v20,186301,2.2425218000943272,2.1775879087838983,1.8794399533702517,68.06051428983085,70.22057781361941,48.21773062344312,False,0.8380921662795862,0.7084538094747763
flap2,s1223_v08,120547,2.210490839868801,2.11154275827936,1.8433479567864326,60.465149661703094,59.7298716652594,40.65761271212612,False,0.8339088873563669,0.6724139928471473
flap2,s1223_v13,120547,2.274905194878295,2.1649182542548786,1.876652906391684,62.69455355102742,59.22341134616198,40.37386695682727,False,0.8249367536795673,0.6439772622986585
flap2,s1223_v03,120547,2.2517782241735267,2.1453497074665764,1.8555671093683352,64.4335983797547,64.78323931082679,43.519637882014116,False,0.824045232096241,0.6754183993499914
flap2,s1223_v02,120547,2.2293075534385265,2.127979581784184,1.9079174998215516,54.62351164957621,53.331873456110685,42.17095032762189,False,0.8558341341815952,0.77202927922612
flap2,s1223_v28,120547,2.1800518382705456,2.0847383931895926,1.8216366425678467,64.54495725997815,61.671342745037265,38.347804388515264,False,0.8355932692008678,0.5941254904555227
flap2,be6699_v19,120547,2.2167222746476885,2.125988610061807,1.8708481202745624,70.3785293595584,72.27048392726526,46.15085026477438,False,0.843970461104291,0.6557518419998988
flap2,s1223_v27,120547,2.219994195294479,2.119904081882601,1.8273656688120021,62.74774793304035,61.18674093953845,39.9193469096339,False,0.8231398409443159,0.6361877234579448
flap2,s1223_v24,120547,2.1833529851561835,2.0906414965134195,1.8506546891457396,66.6891399251117,59.28130253301808,36.28319307602488,False,0.847620472606886,0.5440644926110749
